Date,North Fork Conductivity,East Fork Conductivity,North Fork pH,East Fork pH
8/6/1980,95.00,240.00,6,7
11/12/1980,110.00,330.00,7,7.65
2/4/1981,130.00,315.00,5.3,7.3
5/7/1981,,340.00,,7.5
8/12/1981,110.00,220.00,5.6,6.8
11/4/1981,100.00,270.00,6.6,7
2/10/1982,230.00,280.00,6.9,7.1
5/6/1982,150.00,250.00,6.4,6.9
8/11/1982,120.00,80.00,6.1,6.3
11/11/1982,75.00,145.00,6.1,6.6
2/9/1983,95.00,215.00,5.7,6.4
5/4/1983,90.00,180.00,6.5,6.6
11/9/1983,100.00,185.00,6.6,6.9
2/8/1984,175.00,230.00,7,7.2
5/16/1984,350.00,280.00,7.4,7.2
8/15/1984,60.00,110.00,5.9,6.6
11/7/1984,140.00,290.00,6.8,7.3
2/13/1985,280.00,280.00,7.6,7.3
5/5/1985,375.00,290.00,7.9,7.6
8/21/1985,145.00,185.00,6.6,6.8
10/16/1985,225.00,220.00,6.85,6.85
